name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
httpsmallthreaded,java,1,0,579,0.190,75328,0,17% 14% 29% 10%,0.289
httpsmallthreaded,java,1,0,579,0.190,75600,0,4% 18% 12% 9%,0.480
httpsmallthreaded,java,1,0,579,0.200,75520,0,18% 7% 29% 3%,0.319
pidigits,go,1,0,244,0.160,4,0,100% 0% 0% 0%,0.164
pidigits,go,1,0,244,0.170,4,0,94% 0% 0% 0%,0.170
pidigits,go,1,0,244,0.170,540,0,6% 100% 0% 6%,0.172
pidigits,go,1,0,244,0.160,540,0,100% 0% 0% 0%,0.165
pidigits,go,1,0,244,0.170,4,0,100% 6% 6% 6%,0.176
pidigits,go,1,0,244,0.180,4,0,100% 0% 0% 0%,0.180
pidigits,go,1,0,244,0.160,4,0,100% 0% 0% 0%,0.164
pidigits,go,1,0,244,0.170,4,0,94% 0% 0% 6%,0.171
pidigits,go,1,0,244,0.160,4,0,100% 0% 6% 0%,0.167
pidigits,go,1,0,244,0.160,4,0,0% 0% 100% 0%,0.165
pidigits,python,1,0,222,4.440,7424,0,1% 0% 0% 100%,4.491
pidigits,python,1,0,222,4.360,7404,0,0% 100% 0% 0%,4.371
pidigits,python,1,0,222,4.290,7488,0,0% 100% 0% 1%,4.299
pidigits,python,1,0,222,4.440,7420,0,100% 0% 0% 0%,4.447
pidigits,python,1,0,222,4.330,7504,0,100% 0% 0% 1%,4.339
pidigits,python,1,0,222,4.280,7436,0,0% 100% 0% 0%,4.285
pidigits,python,1,0,222,4.350,7476,0,100% 0% 0% 0%,4.357
pidigits,python,1,0,222,4.510,7404,0,0% 100% 0% 0%,4.522
pidigits,python,1,0,222,4.520,7512,0,100% 0% 0% 1%,4.525
pidigits,python,1,0,222,4.460,7380,0,100% 0% 0% 0%,4.474
pidigits,js,1,0,319,5.990,1026404,0,0% 98% 3% 0%,6.135
pidigits,js,1,0,319,5.970,1026384,0,3% 1% 98% 0%,5.970
pidigits,js,1,0,319,5.810,1026252,0,2% 98% 0% 1%,5.809
pidigits,js,1,0,319,5.800,1026820,0,2% 0% 98% 1%,5.804
pidigits,js,1,0,319,5.830,1026216,0,3% 98% 0% 0%,5.823
pidigits,js,1,0,319,5.840,1025828,0,0% 1% 98% 2%,5.842
pidigits,js,1,0,319,5.880,1026760,0,0% 3% 98% 0%,5.881
pidigits,js,1,0,319,5.770,1026580,0,0% 0% 98% 2%,5.773
pidigits,js,1,0,319,5.730,1026436,0,10% 20% 71% 0%,5.733
pidigits,js,1,0,319,5.860,1026860,0,2% 2% 0% 96%,5.861
pidigits,java,1,0,497,0.740,247892,0,91% 13% 6% 0%,0.690
pidigits,java,1,0,497,0.770,248152,0,0% 94% 0% 14%,0.709
pidigits,java,1,0,497,0.740,248248,0,9% 10% 7% 83%,0.692
pidigits,java,1,0,497,0.760,248080,0,89% 4% 10% 7%,0.694
pidigits,java,1,0,497,0.750,247940,0,7% 90% 9% 6%,0.704
pidigits,java,1,0,497,0.750,247668,0,4% 0% 14% 92%,0.681
pidigits,java,1,0,497,0.730,247912,0,0% 6% 12% 89%,0.686
pidigits,java,1,0,497,0.780,247888,0,13% 4% 38% 57%,0.719
pidigits,java,1,0,497,0.780,247448,0,90% 1% 12% 8%,0.717
pidigits,java,1,0,497,0.730,248120,0,3% 91% 6% 13%,0.675
